127.0.0.1 - - [15/Feb/2022:19:33:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:33:21 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:33:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:33:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:33:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:33:23 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:33:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:33:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:23 +0900] "GET /lesson04/quiz02_del?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:23 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:36 +0900] "POST /lesson04/addnew HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:36 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:40 +0900] "GET /lesson04/quiz02_del?id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:40 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:05:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:10 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:31 +0900] "POST /lesson04/addnew HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:31 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:33 +0900] "GET /lesson04/quiz02_del?id=11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:33 +0900] "GET /lesson04/quiz02.jsp HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:20:06:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
